Category,Department,Question,Option 0,Option 1,Option 2,Option 3,Answer
Question Bank,Bioscience,Q181: Cell Biology: What happens if Na+/K+ ATPase is inhibited in animal cells?,Cell swelling due to osmotic imbalance,Immediate DNA damage,No effect on osmotic balance,Cell shrinkage due to ion loss,0
IQ Games,Bioscience,Q182: Genetics: A mutation in the promoter region of a gene most likely affects:,mRNA splicing,Translation termination,Protein folding,Transcription initiation,3
Career Questions,Bioscience,"Q183: Biochemistry: If Km increases while Vmax remains constant, it indicates:",Higher enzyme affinity,Substrate depletion,Lower enzyme affinity,Enzyme denaturation,2
Question Bank,Bioscience,Q184: Molecular Biology: Which enzyme synthesizes RNA from DNA template?,RNA polymerase,Helicase,DNA polymerase,Ligase,0
IQ Games,Bioscience,Q185: Immunology: Memory B cells are important because they:,Produce antibodies immediately,Suppress immune response,Enable faster secondary response,Destroy pathogens directly,2
Career Questions,Bioscience,Q186: Microbiology: Gram-negative bacteria are resistant to penicillin mainly due to:,Lack of ribosomes,High mutation rate,Outer membrane barrier,Thick peptidoglycan,2
Question Bank,Bioscience,Q187: Physiology: Oxygen dissociation curve shifts right when:,pH increases,Temperature decreases,CO2 increases,Hemoglobin increases,2
IQ Games,Bioscience,Q188: Ecology: Carrying capacity refers to:,Max population environment supports,Death rate only,Migration rate,Growth rate of population,0
Career Questions,Bioscience,Q189: Evolution: Natural selection acts on:,Phenotype,DNA sequence directly,Genotype only,Chromosomes only,0
Question Bank,Bioscience,Q190: Biotechnology: PCR amplification requires:,Ligase enzyme,"DNA template, primers, Taq polymerase",RNA polymerase,Restriction enzymes,1
IQ Games,Bioscience,Q191: Cell Biology: What happens if Na+/K+ ATPase is inhibited in animal cells?,Immediate DNA damage,No effect on osmotic balance,Cell swelling due to osmotic imbalance,Cell shrinkage due to ion loss,2
Career Questions,Bioscience,Q192: Genetics: A mutation in the promoter region of a gene most likely affects:,Protein folding,Transcription initiation,mRNA splicing,Translation termination,1
Question Bank,Bioscience,"Q193: Biochemistry: If Km increases while Vmax remains constant, it indicates:",Substrate depletion,Higher enzyme affinity,Lower enzyme affinity,Enzyme denaturation,2
IQ Games,Bioscience,Q194: Molecular Biology: Which enzyme synthesizes RNA from DNA template?,Helicase,DNA polymerase,RNA polymerase,Ligase,2
Career Questions,Bioscience,Q195: Immunology: Memory B cells are important because they:,Enable faster secondary response,Destroy pathogens directly,Suppress immune response,Produce antibodies immediately,0
Question Bank,Bioscience,Q196: Microbiology: Gram-negative bacteria are resistant to penicillin mainly due to:,Thick peptidoglycan,Outer membrane barrier,Lack of ribosomes,High mutation rate,1
IQ Games,Bioscience,Q197: Physiology: Oxygen dissociation curve shifts right when:,Temperature decreases,CO2 increases,Hemoglobin increases,pH increases,1
Career Questions,Bioscience,Q198: Ecology: Carrying capacity refers to:,Max population environment supports,Death rate only,Migration rate,Growth rate of population,0
Question Bank,Bioscience,Q199: Evolution: Natural selection acts on:,Phenotype,DNA sequence directly,Genotype only,Chromosomes only,0
IQ Games,Bioscience,Q200: Biotechnology: PCR amplification requires:,Ligase enzyme,"DNA template, primers, Taq polymerase",RNA polymerase,Restriction enzymes,1
